 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  2   6   3   1   F 192   1   F 192  42.776000   1.000000   7.300200   1.000000  13.864600   1.000000  45.547800
  2   6   4   1   F 192   1   F 192  40.659400   1.000000   6.824800   1.000000  13.185800   1.000000  44.114600
  2   6   5   1   F 192   1   F 192  34.561200   1.000000   9.213000   1.000000  11.521800   1.000000  41.857600
  2   6   6   1   F 192   1   F 192  27.428600   1.000000   7.193000   1.000000   8.904200   1.000000  36.781800
  2   6   7   1   F 192   1   F 192  21.275200   1.000000   5.559800   1.000000   6.811000   1.000000  32.503200
  2   6   8   1   F 192   1   F 192  15.185200   1.000000   4.207000   1.000000   4.283600   1.000000  27.989800
  2   6   9   1   L 226   1   F 192   9.811000   1.175538   2.982200   1.181209   2.090400   1.163988  26.418600
  2   7   0   1   F 192   1   F 192  16.881600   1.000000   4.490000   1.000000   5.138600   1.000000  29.299200
  2   7   1   1   F 192   1   F 192  21.261400   1.000000   5.564200   1.000000   6.745200   1.000000  32.486000
  2   7   2   1   F 192   1   F 192  24.544400   1.000000   6.491400   1.000000   7.941600   1.000000  34.817000
  2   7   3   1   F 192   1   F 192  26.523400   1.000000   6.944400   1.000000   8.672600   1.000000  36.154400
  2   7   4   1   F 192   1   F 192  26.572600   1.000000   7.012200   1.000000   8.713600   1.000000  36.227600
  2   7   5   1   F 192   1   F 192  24.562600   1.000000   6.426200   1.000000   7.933600   1.000000  34.779800
  2   7   6   1   F 192   1   F 192  21.284400   1.000000   5.588600   1.000000   6.827600   1.000000  32.501000
  2   7   7   1   F 192   1   F 192  16.952400   1.000000   4.493200   1.000000   5.080400   1.000000  29.309600
  2   7   8   1   F 192   1   F 192  12.397000   1.000000   3.676000   1.000000   2.981800   1.000000  25.514600
  2   7   9   1   F 192   1   F 192   8.757400   1.000000   2.666400   1.000000   1.953600   1.000000  21.726400
  2   8   0   1   F 192   1   F 192   9.455800   1.000000   2.834000   1.000000   2.044400   1.000000  22.486400
  2   8   1   1   F 192   1   F 192  12.333200   1.000000   3.667600   1.000000   2.944400   1.000000  25.459000
  2   8   2   1   F 192   1   F 192  15.268800   1.000000   4.195000   1.000000   4.339000   1.000000  28.045600
  2   8   3   1   F 192   1   F 192  17.050200   1.000000   4.540400   1.000000   5.185800   1.000000  29.415800
