 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  2   5   5   1   F 192   1   F 192  44.342400   1.000000   7.884000   1.000000  14.762200   1.000000  46.841400
  2   5   6   1   F 192   1   F 192  33.318000   1.000000   5.848000   1.000000  10.902800   1.000000  39.450000
  2   5   7   1   F 192   1   F 192  23.758000   1.000000   4.061800   1.000000   7.667200   1.000000  33.134800
  2   5   8   1   F 192   1   F 192  16.900400   1.000000   2.869400   1.000000   5.383400   1.000000  28.612400
  2   5   9   1   L 226   1   F 192  10.645800   1.176539   3.281000   1.184761   2.295400   1.169557  27.450800
  2   6   0   1   F 192   1   F 192  26.602800   1.000000   4.519400   1.000000   8.694600   1.000000  34.986400
  2   6   1   1   F 192   1   F 192  33.266000   1.000000   5.789400   1.000000  10.964600   1.000000  39.408600
  2   6   2   1   F 192   1   F 192  38.304200   1.000000   6.697800   1.000000  12.632800   1.000000  42.701000
  2   6   3   1   F 192   1   F 192  40.454400   1.000000   7.150400   1.000000  13.371200   1.000000  44.189200
  2   6   4   1   F 192   1   F 192  38.213800   1.000000   6.715400   1.000000  12.601400   1.000000  42.654400
  2   6   5   1   F 192   1   F 192  33.287600   1.000000   5.839600   1.000000  10.886600   1.000000  39.420800
  2   6   6   1   F 192   1   F 192  26.721200   1.000000   4.527200   1.000000   8.721800   1.000000  35.059000
  2   6   7   1   F 192   1   F 192  20.687200   1.000000   3.561800   1.000000   6.621000   1.000000  31.154800
  2   6   8   1   F 192   1   F 192  13.892800   1.000000   4.068200   1.000000   3.376000   1.000000  26.871400
  2   6   9   1   L 226   1   F 192   9.972400   1.176607   3.104400   1.182386   2.145800   1.165346  26.628800
  2   7   0   1   F 192   1   F 192  16.805400   1.000000   2.879400   1.000000   5.326200   1.000000  28.541200
  2   7   1   1   F 192   1   F 192  20.682800   1.000000   3.555800   1.000000   6.691200   1.000000  31.164800
  2   7   2   1   F 192   1   F 192  23.730400   1.000000   4.032400   1.000000   7.656000   1.000000  33.104000
  2   7   3   1   F 192   1   F 192  25.900400   1.000000   4.446600   1.000000   8.414000   1.000000  34.534800
  2   7   4   1   F 192   1   F 192  25.835200   1.000000   4.398000   1.000000   8.433600   1.000000  34.518200
  2   7   5   1   F 192   1   F 192  23.931400   1.000000   4.094600   1.000000   7.716800   1.000000  33.268000
  2   7   6   1   F 192   1   F 192  20.506200   1.000000   3.511000   1.000000   6.570800   1.000000  31.004200
  2   7   7   1   F 192   1   F 192  16.770400   1.000000   2.769000   1.000000   5.376800   1.000000  28.470200
  2   7   8   1   F 192   1   F 192  11.735200   1.000000   3.620400   1.000000   2.435800   1.000000  24.835600
  2   7   9   1   b 164   1   F 164   7.712000   1.000000   2.388800   1.000000   1.695400   1.000000  19.018000
  2   8   0   1   F 192   1   F 192   9.466200   1.000000   2.932200   1.000000   2.031400   1.000000  22.500200
  2   8   1   1   F 192   1   F 192  11.764400   1.000000   3.646600   1.000000   2.476000   1.000000  24.880000
  2   8   2   1   F 192   1   F 192  14.210600   1.000000   4.188600   1.000000   3.451600   1.000000  27.134200
  2   8   3   1   F 192   1   F 192  16.897400   1.000000   2.866600   1.000000   5.374200   1.000000  28.625800
  2   8   4   1   F 192   1   F 192  17.634000   1.000000   3.077600   1.000000   5.601600   1.000000  29.142800
  2   8   5   1   F 192   1   F 192  17.003600   1.000000   2.863400   1.000000   5.424600   1.000000  28.695000
  2   8   6   1   F 192   1   F 192  14.071600   1.000000   4.146200   1.000000   3.372400   1.000000  27.013200
  2   8   7   1   F 192   1   F 192  11.778400   1.000000   3.649400   1.000000   2.458400   1.000000  24.882200
  2   8   8   1   F 192   1   F 192   9.551200   1.000000   2.891200   1.000000   2.077800   1.000000  22.596800
  2   8   9   1   a 100   1   F 100   4.083400   1.000000   1.280400   1.000000   0.907400   1.000000  11.925800
  2   9   1   1   a 100   1   F  92   3.814000   1.058626   1.193800   1.007539   0.843800   1.001896  11.678200
  2   9   2   1   b 164   1   F 164   7.561800   1.000000   2.293200   1.000000   1.669200   1.000000  18.860600
  2   9   3   1   L 226   1   F 192   9.924800   1.175077   3.040800   1.181400   2.148000   1.165829  26.584600
  2   9   4   1   L 226   1   F 192  10.581600   1.175966   3.286600   1.184203   2.272600   1.171962  27.381400
  2   9   5   1   F 192   1   F 192  10.628200   1.000000   3.279200   1.000000   2.237600   1.000000  23.704400
  2   9   6   1   L 226   1   F 192   9.897000   1.176417   3.056400   1.182371   2.139000   1.165685  26.551400
  2   9   7   1   b 164   1   F 164   7.565800   1.000000   2.298200   1.000000   1.677600   1.000000  18.896000
  2   9   8   1   a 100   1   F 100   4.007200   1.000000   1.248600   1.000000   0.899000   1.000000  11.832800
  3   1   2   0   d 160   0   g 162 123.105600   0.987213  27.055200   0.997671  68.429400   0.985503 104.925400
  3   1   3   0   F 432   0   F 432 220.104400   1.000000  31.776400   1.000000  82.047800   1.000000 175.673000
  3   1   4   0   F 432   0   F 432 116.775200   1.000000  11.925400   1.000000  28.754800   1.000000 102.497800
  3   1   5   1   F 192   1   F 192  60.949200   1.000000  12.466000   1.000000  18.532200   1.000000  58.111400
  3   1   6   1   F 192   1   F 192  39.055200   1.000000   6.820600   1.000000  12.870800   1.000000  43.239600
  3   1   7   1   F 192   1   F 192  24.217200   1.000000   4.105400   1.000000   7.723400   1.000000  33.387600
